nom,prix,website,source,date_scraped,category,promotion,url,description,normalized_nom,normalized_description
Insignia™ - 7 Cu. Ft. Garage Ready Upright Convertible Freezer with ENERGY STAR Certification Look,299.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 7 cu. ft. garage ready upright convertible freezer with energy star certification look,insignia™ - 7 cu. ft. garage ready upright convertible freezer with energy star certification look
GE Profile - Opal 2.0 Ultra Nugget Ice Maker with Side Tank and Scale Inhibiting Filter,629.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,ge profile - opal 2.0 ultra nugget ice maker with side tank and scale inhibiting filter,ge profile - opal 2.0 ultra nugget ice maker with side tank and scale inhibiting filter
"Café - 6.7 Cu. Ft. Slide-In Double Oven Gas True Convection Range with Built-In Wifi, Customizable",3199.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"café - 6.7 cu. ft. slide-in double oven gas true convection range with built-in wifi, customizable","café - 6.7 cu. ft. slide-in double oven gas true convection range with built-in wifi, customizable"
"Samsung - 6.0 cu. ft. Freestanding Gas Range with WiFi, No-Preheat Air Fry & Convection",1034.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection","samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection"
"Samsung - 6.3 cu. ft. Freestanding Electric Range with WiFi, No-Preheat Air Fry & Convection",749.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.3 cu. ft. freestanding electric range with wifi, no-preheat air fry & convection","samsung - 6.3 cu. ft. freestanding electric range with wifi, no-preheat air fry & convection"
GE - 5.0 Cu. Ft. Freestanding Gas Range,649.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,ge - 5.0 cu. ft. freestanding gas range,ge - 5.0 cu. ft. freestanding gas range
Samsung - 6.3 cu. ft. Freestanding Electric Range with WiFi and Steam Clean,679.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,samsung - 6.3 cu. ft. freestanding electric range with wifi and steam clean,samsung - 6.3 cu. ft. freestanding electric range with wifi and steam clean
"Samsung - 6.3 cu. ft. Freestanding Electric Convection+ Range with WiFi, No-Preheat Air Fry and Griddle",899.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.3 cu. ft. freestanding electric convection+ range with wifi, no-preheat air fry and griddle","samsung - 6.3 cu. ft. freestanding electric convection+ range with wifi, no-preheat air fry and griddle"
LG - 6.9 Cu. Ft. Freestanding Double Oven Gas True Convection Smart Range with EasyClean and Air Fry,1399.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,lg - 6.9 cu. ft. freestanding double oven gas true convection smart range with easyclean and air fry,lg - 6.9 cu. ft. freestanding double oven gas true convection smart range with easyclean and air fry
"Samsung - 6.0 cu. ft. Freestanding Gas Range with WiFi, No-Preheat Air Fry & Convection",1124.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection","samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection"
"Samsung - 6.0 cu. ft. Smart Freestanding Gas Range with Flex Duo, Stainless Cooktop & Air Fry",1199.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.0 cu. ft. smart freestanding gas range with flex duo, stainless cooktop & air fry","samsung - 6.0 cu. ft. smart freestanding gas range with flex duo, stainless cooktop & air fry"
"ZLINE - 36"" Legacy Dual Fuel Range w/ 6 Burner Gas Cooktop and Electric Convection Oven (RA36)",2609.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"zline - 36"" legacy dual fuel range w/ 6 burner gas cooktop and electric convection oven (ra36)","zline - 36"" legacy dual fuel range w/ 6 burner gas cooktop and electric convection oven (ra36)"
Frigidaire 5.1 Cu. Freestanding Gas Range with Air Fry,779.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,frigidaire 5.1 cu. freestanding gas range with air fry,frigidaire 5.1 cu. freestanding gas range with air fry
"LG - 6.3 Cu. Ft. Smart Freestanding Electric Convection Range with Easy Clean, Air Fry and WideView Window",899.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"lg - 6.3 cu. ft. smart freestanding electric convection range with easy clean, air fry and wideview window","lg - 6.3 cu. ft. smart freestanding electric convection range with easy clean, air fry and wideview window"
Samsung - 6.0 Cu. Ft. Freestanding Gas Convection+ Range with WiFi and No-Preheat Air Fry,1169.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,samsung - 6.0 cu. ft. freestanding gas convection+ range with wifi and no-preheat air fry,samsung - 6.0 cu. ft. freestanding gas convection+ range with wifi and no-preheat air fry
LG - 6.3 Cu. Ft. Smart Freestanding Electric Convection Range with EasyClean and InstaView,1099.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,lg - 6.3 cu. ft. smart freestanding electric convection range with easyclean and instaview,lg - 6.3 cu. ft. smart freestanding electric convection range with easyclean and instaview
GE - 5.3 Cu. Ft. Freestanding Gas Convection Range with Steam Cleaning and EasyWash Oven Tray ,799.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,ge - 5.3 cu. ft. freestanding gas convection range with steam cleaning and easywash oven tray ,ge - 5.3 cu. ft. freestanding gas convection range with steam cleaning and easywash oven tray 
Whirlpool - 5.1 Cu. Ft. Freestanding Gas Range with Broiler Drawer,649.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,whirlpool - 5.1 cu. ft. freestanding gas range with broiler drawer,whirlpool - 5.1 cu. ft. freestanding gas range with broiler drawer
Whirlpool - 5.0 Cu. Ft. Freestanding Single Gas Range with Air Fry and Air Baking,849.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,whirlpool - 5.0 cu. ft. freestanding single gas range with air fry and air baking,whirlpool - 5.0 cu. ft. freestanding single gas range with air fry and air baking
Samsung - 30 inches - Externally Vented & Recirculating - Wall Range Hood,449.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,samsung - 30 inches - externally vented & recirculating - wall range hood,samsung - 30 inches - externally vented & recirculating - wall range hood
GE - 36 inches - Convertible - Wall Range Hood,569.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge - 36 inches - convertible - wall range hood,ge - 36 inches - convertible - wall range hood
GE - 30 inches - Convertible - Wall Range Hood,519.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge - 30 inches - convertible - wall range hood,ge - 30 inches - convertible - wall range hood
Thor Kitchen Professional - 30 inches - Convertible - Wall Range Hood,699.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,thor kitchen professional - 30 inches - convertible - wall range hood,thor kitchen professional - 30 inches - convertible - wall range hood
ZLINE - 36 inches - Externally Vented & Convertible - Wall Range Hood - Brushed ,449.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,zline - 36 inches - externally vented & convertible - wall range hood - brushed ,zline - 36 inches - externally vented & convertible - wall range hood - brushed 
Samsung BESPOKE - 35 inches - Convertible - Wall Range Hood,1099.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,samsung bespoke - 35 inches - convertible - wall range hood,samsung bespoke - 35 inches - convertible - wall range hood
KitchenAid - 30 inches - Convertible - Wall Range Hood,1286.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,kitchenaid - 30 inches - convertible - wall range hood,kitchenaid - 30 inches - convertible - wall range hood
LG STUDIO - 30 inches - Externally Vented - Wall Range Hood,1099.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,lg studio - 30 inches - externally vented - wall range hood,lg studio - 30 inches - externally vented - wall range hood
